YEAR,BENE_GEO_DESC,Avg_Payment_Per_Capita
2014,MO-Henry,9548.05
2014,MO-Howell,7663.83
2014,MO-Jackson,9960.32
2014,MO-Jasper,8745.91
2014,MO-Jefferson,9682.87
2014,MO-Johnson,8952.12
2014,MO-Lincoln,10775.73
2014,MO-Morgan,7866.69
2014,MO-Newton,8696.09
2014,MO-Phelps,9064.34
2014,MO-Platte,8871.58
2014,MO-Randolph,9208.27
2014,MO-Scott,8513.38
2014,MO-St. Charles,9339.01
2014,MO-St. Louis,9939.23
2014,MO-St. Louis City,12197.97
2014,MO-Stoddard,8394.37
2014,MO-Taney,7914.92
2014,MS,9733.493333333334
2014,MS-Adams,9989.27
2014,MS-Alcorn,10018.84
2014,MS-Bolivar,11710.62
2014,MS-Clay,9248.75
2014,MS-Coahoma,10823.2
2014,MS-Copiah,9027.01
2014,MS-DeSoto,9496.48
2014,MS-Forrest,10235.83
2014,MS-Grenada,10034.7
2014,MS-Hancock,10002.25
2014,MS-Harrison,9477.28
2014,MS-Hinds,10088.76
2014,MS-Humphreys,9381.32
2014,MS-Jackson,8761.45
2014,MS-Jones,9561.05
2014,MS-Lafayette,7990.84
2014,MS-Lamar,8986.75
2014,MS-Lauderdale,9585.9
2014,MS-Leake,9865.39
2014,MS-Lee,8348.92
2014,MS-Leflore,9731.28
2014,MS-Lincoln,8746.17
2014,MS-Lowndes,8609.53
2014,MS-Madison,8771.55
2014,MS-Marion,10595.02
2014,MS-Marshall,9772.72
2014,MS-Neshoba,11641.73
2014,MS-Newton,11175.89
2014,MS-Panola,10104.25
2014,MS-Pearl River,9498.53
2014,MS-Pike,10044.06
2014,MS-Rankin,9066.86
2014,MS-Scott,10977.82
2014,MS-Stone,10393.79
2014,MS-Sunflower,12635.15
2014,MS-Tate,10039.94
2014,MS-Walthall,10555.08
2014,MS-Warren,10236.15
2014,MS-Washington,9931.44
2014,MS-Winston,8792.6
2014,MS-Yazoo,10954.73
2014,MT,7172.27
2014,MT-Gallatin,6587.34
2014,MT-Yellowstone,7819.8
2014,NC,9098.716666666667
2014,NC-Alamance,9105.31
2014,NC-Beaufort,8066.36
2014,NC-Bladen,10745.32
2014,NC-Brunswick,7843.82
2014,NC-Buncombe,7601.27
2014,NC-Burke,8175.32
2014,NC-Cabarrus,9254.35
2014,NC-Caldwell,8255.91
2014,NC-Caswell,8655.63
2014,NC-Catawba,7984.48
2014,NC-Chatham,8296.23
2014,NC-Cherokee,7258.31
2014,NC-Cleveland,8755.64
2014,NC-Columbus,10002.42
2014,NC-Cumberland,9248.68
2014,NC-Davidson,9231.39
2014,NC-Duplin,9444.5
2014,NC-Durham,9781.11
2014,NC-Edgecombe,9817.9
2014,NC-Forsyth,9757.44
2014,NC-Franklin,9125.01
2014,NC-Gaston,9424.99
2014,NC-Granville,8736.61
2014,NC-Guilford,8910.17
2014,NC-Halifax,9451.97
2014,NC-Harnett,9872.94
2014,NC-Haywood,7764.22
2014,NC-Henderson,7819.3
2014,NC-Hoke,10020.92
2014,NC-Iredell,9098.46
2014,NC-Jackson,7378.78
2014,NC-Johnston,9354.84
2014,NC-Lenoir,9129.55
2014,NC-Lincoln,9011.81
2014,NC-Macon,6796.31
2014,NC-Madison,7122.74
2014,NC-Martin,10131.17
2014,NC-McDowell,8073.72
2014,NC-Mecklenburg,9105.34
2014,NC-Nash,9493.16
2014,NC-Northampton,9785.49
2014,NC-Onslow,8742.17
2014,NC-Pasquotank,8560.6
2014,NC-Person,9530.46
2014,NC-Pitt,9563.79
2014,NC-Polk,7415.72
2014,NC-Randolph,8537.03
2014,NC-Richmond,9407.04
2014,NC-Robeson,10632.83
2014,NC-Rockingham,8792.57
2014,NC-Rowan,9352.89
2014,NC-Rutherford,8035.93
2014,NC-Sampson,9543.1
2014,NC-Stanly,9163.34
2014,NC-Stokes,9794.55
2014,NC-Surry,9676.67
2014,NC-Transylvania,7599.96
2014,NC-Union,8459.31
2014,NC-Vance,8854.27
2014,NC-Wake,8150.02
2014,NC-Wayne,9205.93
2014,NC-Wilkes,8850.93
2014,NC-Wilson,9619.41
2014,ND,8041.82
2014,ND-Burleigh,7839.45
2014,ND-Cass,8307.07
2014,ND-Ward,7550.13
2014,NE,8570.99
2014,NE-Douglas,8672.18
2014,NE-Lancaster,8044.55
2014,NE-Lincoln,9511.31
2014,NE-Madison,9504.39
2014,NE-Sarpy,8108.5
2014,NH,8678.406666666668
2014,NH-Hillsborough,8939.0
2014,NH-Merrimack,8723.74
2014,NH-Rockingham,9006.17
2014,NH-Strafford,8220.69
2014,NH-Sullivan,8334.83
2014,NJ,11818.64
2014,NJ-Atlantic,11899.35
2014,NJ-Bergen,11956.73
2014,NJ-Burlington,10727.91
2014,NJ-Camden,11624.81
2014,NJ-Cape May,10682.19
2014,NJ-Cumberland,11769.28
2014,NJ-Essex,13363.59
2014,NJ-Gloucester,11361.53
2014,NJ-Hudson,12860.92
2014,NJ-Hunterdon,9238.0
2014,NJ-Mercer,11468.41
2014,NJ-Middlesex,11391.98
2014,NJ-Monmouth,11101.14
2014,NJ-Morris,10507.35
2014,NJ-Ocean,11174.19
2014,NJ-Passaic,12480.08
2014,NJ-Salem,10424.81
2014,NJ-Somerset,10207.34
2014,NJ-Sussex,9734.75
2014,NJ-Union,11036.77
2014,NJ-Warren,10382.35
2014,NM,7951.683333333333
2014,NM-Bernalillo,7696.17
2014,NM-Chaves,8568.38
2014,NM-Curry,8788.05
2014,NM-Dona Ana,8190.57
2014,NM-Eddy,8081.2
2014,NM-Grant,6515.79
2014,NM-Lea,9413.14
2014,NM-Luna,7924.91
2014,NM-McKinley,9203.78
2014,NM-Otero,8538.29
2014,NM-Rio Arriba,6977.04
2014,NM-San Juan,8726.27
2014,NM-Sandoval,7431.71
2014,NM-Santa Fe,6314.5
2014,NV,10635.07
2014,NV-Carson City,9404.63
2014,NV-Churchill,8404.46
2014,NV-Clark,11036.06
2014,NV-Douglas,7922.04
2014,NV-Elko,8596.44
2014,NV-Lyon,7852.89
2014,NV-Nye,8875.82
2014,NV-Washoe,8277.91
2014,NY,11226.016666666668
2014,NY-Bronx,15620.85
2014,NY-Cayuga,8292.38
2014,NY-Chautauqua,7863.38
2014,NY-Cortland,8369.9
2014,NY-Dutchess,9948.86
2014,NY-Erie,8587.41
2014,NY-Genesee,8645.29
2014,NY-Kings,15314.67
2014,NY-Nassau,12193.46
2014,NY-New York,12446.9
2014,NY-Oneida,8211.14
2014,NY-Orange,10864.1
2014,NY-Putnam,10604.29
2014,NY-Queens,13224.91
2014,NY-Richmond,12579.04
2014,NY-Rockland,11980.37
2014,NY-Schoharie,7920.91
2014,NY-Seneca,8096.21
2014,NY-Suffolk,11921.69
2014,NY-Sullivan,9490.61
2014,NY-Ulster,9127.3
2014,NY-Westchester,11893.74
2014,National,10020.316666666668
2014,OH,10062.643333333333
2014,OH-Adams,9864.31
2014,OH-Allen,9873.93
2014,OH-Ashland,7904.63
2014,OH-Ashtabula,10725.13
2014,OH-Athens,10090.15
2014,OH-Auglaize,8782.1
2014,OH-Belmont,9112.45
2014,OH-Brown,9781.68
2014,OH-Butler,9895.41
2014,OH-Clark,10190.52
2014,OH-Clermont,9548.24
